,Total,Total Detected,Misuse 1,Classification,Impact,ML step,Misuse 5,Misuse 6,Misuse. 7,Misuse 8,Misuse 9,Misuse 10,Misuse 11,Misuse 12,Misuse 13,Misuse 14
31556268.txt,7,7,Line 11 : No key l2 (Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 25: No key show_accuracy(Unknown Argument Name),Unknown Argument Name,Deprecated,Training,,,,,,,,,,
,,,Line 7: Key init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Linr 9: Key init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,nb_rpoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Training,,,,,,,,,,
,,,Line 7: key output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 9: key output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
31880720.txt,10,8,Line 2: Dense can take single positional argument,Type Missmatch,Exception,Modeling,,,,,,,,,,
,,,Line 2: First layer should have input_shape or input_dim(Missing Required Argument),Missing Required Argument,Exception,Modeling,,,,,,,,,,
,,,Line 8: Dense can take only 1 positional argument,Type Missmatch,Exception,Modeling,,,,,,,,,,
,,,Libe 5: Dense can take only 1 positional argument,Type Missmatch,Exception,Modeling,,,,,,,,,,
,,,Line 15: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 15: fit doesn't have show_accuracy keyword(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 18 : Evaluate doesn't contain the show accuracy keyword(Unknown Argument Name),Unknown Argument Name,Deprecated,evaluation,,,,,,,,,,
,,,Line 19: Invalid index to scaalr variable,Type Missmatch,Exception,evaluation,,,,,,,,,,
,,,Line 20: Invalid index to scalar variable,Type Missmatch,Exception,evaluation,,,,,,,,,,
,,,softmax activation used in the dense layer having output dim 1(Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Performance,tuning,,,,,,,,,,
33474424.txt,1,1,Line 6: init key is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Missing Model.compile(Missing Method Call),Missing Method Call,Performance,prediction,,,,,,,,,,
33564181.txt,1,1,Line 15: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,"X_train, y_train must be numpy array(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)(Type Missmatch)",Type Missmatch,Exception,training,,,,,,,,,,
34311586.txt,5,5,Line 9: init keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 10: initi keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 11 init keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 11: Dense layer has units =1 and activation = softmax(Inconsistent Argument Value - Single),Inconsistent Argument Value - Single,Performance,tuning,,,,,,,,,,
,,,Line 15: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
34717241.txt,6,5,Line 2 init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 3 init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 6 init is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14 fit doesn't have show_accuracy kw(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 9 init keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 4 act should used without having Activation(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
35968973.txt,2,2,Line 6: init key is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 14: nb_epoch keyword is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,"X_train, y_train must be numpy array(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)(Type Missmatch)",Type Missmatch,Exception,training,,,,,,,,,,
36392966.txt,0,0,Line 8: shape mismatch (Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
37085653.txt,2,1,Line 1: border_mode key is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 1: input_shape should be of dimension 3 (Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
37666887.txt,1,1,Line 1: Compile missing required arguments(Missing Required Argument),Missing Required Argument,Exception,training,,,,,,,,,,
37758496.txt,6,6,Line 25: input keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 25: output keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 38: input keyword deprecatted(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 38: output keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 29: inpput keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 29: output keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 38: (Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Exception,Modeling,,,,,,,,,,
37817588.txt,7,6,Line 41 output_dim keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 43 output_dim keyword deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 47: merge function is deprecated(Unknown Method Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 56: input is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 56: output is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 53: output_dim is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 66: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 37: nb_words + 1(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
37891954.txt,1,0,"Line 16: X_train, y_train must be numpy array(solution: we can make a suggestion that every X_train, Y_train need to be convert to numpy array)(Type Missmatch)",Type Missmatch,Exception,prediction,,,,,,,,,,
39018767.txt,4,4,Line 1: Channel should go last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 2: Conv2D argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 2: border_mode is deprecated,Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 3: Conv2DTranspose takes only two positional argument,Incorrect Values,Exception,Modeling,,,,,,,,,,
39376169.txt,3,3,Line 15: channlel should be last(Incorrect Argument Value),Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 18: The positional arguments,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 21: The positional arguments,Type Mismatch,Exception,Modeling,,,,,,,,,,
40331510.txt,1,1,Line 2: return sequences should be True(Incorrect Argument Value),Incorrect Argument Value,Exception,Modeling,,,,,,,,,,
40955942.txt,5,5,Line 8: positonal argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 8: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 9: positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 9: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 26: PSNRLoss should be passed as custom object(Inconsistent Argument Value - Multiple),Inconsistent Argument Value - Multiple,Exception,Modeling,,,,,,,,,,
41563720.txt,4,4,Line 2: positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,compile should be called before fit_generator(Missing Method Call),Missing Method Call,Performance,training,,,,,,,,,,
,,,Line 3:nb_epoch deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
,,,Line 3: nb_val_samples deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
41651628.txt,6,4,Line 31: Reshape should have column last,Incorrect Values,Exception,training,,,,,,,,,,
,,,Line 32: Reshape should have column last,Incorrect Values,Exception,training,,,,,,,,,,
,,,Line 51: positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 52: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 53: input_shape need to have channel last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 71: nb_epoch is deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,training,,,,,,,,,,
41668813.txt,11,10,Line 7: channel should be last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 10 Channel should be last,Incorrect Values,Exception,Modeling,,,,,,,,,,
,,,Line 11: Extra positional argument,Type Mismatch,Exception,Modeling,,,,,,,,,,
,,,Line 11: subsample key deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
,,,Line 11: border_mode deprecated(Unknown Argument Name),Unknown Argument Name,Deprecated,Modeling,,,,,,,,,,
