URL,Total,Total Detected
https://github.com/lene/nn-wtf/commit/2395f12fe50951fcd15a8d20ad15cf71ab033611#diff-ce049c4a6e0960821785826b846d45cbL49,1,1
https://github.com/lene/nn-wtf/commit/2395f12fe50951fcd15a8d20ad15cf71ab033611#diff-ce049c4a6e0960821785826b846d45cbL52,1,1
https://github.com/lene/nn-wtf/commit/2395f12fe50951fcd15a8d20ad15cf71ab033611#diff-ce049c4a6e0960821785826b846d45cbL58,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L100,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L101,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L104,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L112,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L113,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L116,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L118,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L121,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/c8eccb235be4b5e192d3914ba3d102e32684e360#diff-e44f4a60e89e820dde9bb27afa634965L123,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/673b7d1e5d5d108c4a5975e02de154d8124be0ff#diff-e44f4a60e89e820dde9bb27afa634965L129,1,1
https://github.com/dennybritz/cnn-text-classification-tf/commit/673b7d1e5d5d108c4a5975e02de154d8124be0ff#diff-e44f4a60e89e820dde9bb27afa634965L135,1,1
https://github.com/lopuhin/tf-rnn-char-autoencoder/commit/2b3e12a8ca856f41145f7e5ae423f51b488e43e1#diff-9ca93d64d917c710da1e260863132b89L58, ,1
https://github.com/lopuhin/tf-rnn-char-autoencoder/commit/2b3e12a8ca856f41145f7e5ae423f51b488e43e1#diff-9ca93d64d917c710da1e260863132b89L64,1,1
https://github.com/lopuhin/tf-rnn-char-autoencoder/commit/2b3e12a8ca856f41145f7e5ae423f51b488e43e1#diff-9ca93d64d917c710da1e260863132b89L138,1,1
https://github.com/lopuhin/tf-rnn-char-autoencoder/commit/2b3e12a8ca856f41145f7e5ae423f51b488e43e1#diff-9ca93d64d917c710da1e260863132b89L140,1,1
https://github.com/lopuhin/tf-rnn-char-autoencoder/commit/2b3e12a8ca856f41145f7e5ae423f51b488e43e1#diff-9ca93d64d917c710da1e260863132b89L150,1,1
https://github.com/lopuhin/tf-rnn-char-autoencoder/commit/2b3e12a8ca856f41145f7e5ae423f51b488e43e1#diff-9ca93d64d917c710da1e260863132b89L181,1,1
https://github.com/sugyan/tf-face-recognizer/commit/b1ccdf2b1215188181209f60c6668f61d6fdaaf3#diff-6ab350a26f9ea6941e8580ad95c17270L39,1,1
https://github.com/sugyan/tf-face-recognizer/commit/b1ccdf2b1215188181209f60c6668f61d6fdaaf3#diff-9d31de0b2fa44cdcf818cb640843d5a3L30,1,1
https://github.com/sugyan/tf-face-recognizer/commit/b1ccdf2b1215188181209f60c6668f61d6fdaaf3#diff-9d31de0b2fa44cdcf818cb640843d5a3L44,1,1
https://github.com/sugyan/tf-face-recognizer/commit/b1ccdf2b1215188181209f60c6668f61d6fdaaf3#diff-9d31de0b2fa44cdcf818cb640843d5a3L57,1,1
https://github.com/kupospelov/classify/commit/3a66c90cb5a2f7b928f52dde00603bcf5dfe45e2#diff-913808e204914b1ba8dba5ed14b76f15L109,1,1
https://github.com/kupospelov/classify/commit/3a66c90cb5a2f7b928f52dde00603bcf5dfe45e2#diff-2ef65ef8520cef01c37a957e90545296L79,1,0
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-0e7ee005f9cf152355c2fb8e32965b02L26,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-0e7ee005f9cf152355c2fb8e32965b02L27,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-0e7ee005f9cf152355c2fb8e32965b02L28,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-83dd33e61fef968bfbae4b5a86a86884L28,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-83dd33e61fef968bfbae4b5a86a86884L51,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-83dd33e61fef968bfbae4b5a86a86884L52,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-83dd33e61fef968bfbae4b5a86a86884L53,1,1
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-9604917062c55b03796c12e0387a2642L103,1,0
https://github.com/todorokit/tensorflow_cnn_image_sample/commit/e1721814866de60d6a659beed7a7830347f7647a#diff-9604917062c55b03796c12e0387a2642L104,1,0
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL221,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL242,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL253,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL259,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfL328,1,1
https://github.com/ckiwun/CGO_Final/commit/2217a3f27d1a7f03e5a962770b839bb2f33841b6#diff-b750ce3fdb14f9a2ed81566ba7e62ecfR329,1,1
